Classifier,Noise Level,Seed,Metric,Value
CatBoost,0.15,3,f1_score,0.7
CatBoost,0.2,3,accuracy_score,0.65
CatBoost,0.2,3,precision_score,0.5869565217391305
CatBoost,0.2,3,recall_score,0.75
CatBoost,0.2,3,f1_score,0.6585365853658537
Bagging,0.0,4,accuracy_score,0.7875
Bagging,0.0,4,precision_score,0.75
Bagging,0.0,4,recall_score,0.8461538461538461
Bagging,0.0,4,f1_score,0.7951807228915663
Bagging,0.05,4,accuracy_score,0.7625
Bagging,0.05,4,precision_score,0.7272727272727273
Bagging,0.05,4,recall_score,0.8205128205128205
Bagging,0.05,4,f1_score,0.7710843373493976
Bagging,0.1,4,accuracy_score,0.725
Bagging,0.1,4,precision_score,0.7073170731707317
Bagging,0.1,4,recall_score,0.7435897435897436
Bagging,0.1,4,f1_score,0.725
Bagging,0.15,4,accuracy_score,0.7375
Bagging,0.15,4,precision_score,0.6875
Bagging,0.15,4,recall_score,0.8461538461538461
Bagging,0.15,4,f1_score,0.7586206896551724
Bagging,0.2,4,accuracy_score,0.775
Bagging,0.2,4,precision_score,0.7560975609756098
Bagging,0.2,4,recall_score,0.7948717948717948
Bagging,0.2,4,f1_score,0.775
MLP Classifier,0.0,4,accuracy_score,1.0
MLP Classifier,0.0,4,precision_score,1.0
MLP Classifier,0.0,4,recall_score,1.0
MLP Classifier,0.0,4,f1_score,1.0
MLP Classifier,0.05,4,accuracy_score,1.0
MLP Classifier,0.05,4,precision_score,1.0
MLP Classifier,0.05,4,recall_score,1.0
MLP Classifier,0.05,4,f1_score,1.0
MLP Classifier,0.1,4,accuracy_score,1.0
MLP Classifier,0.1,4,precision_score,1.0
MLP Classifier,0.1,4,recall_score,1.0
MLP Classifier,0.1,4,f1_score,1.0
MLP Classifier,0.15,4,accuracy_score,1.0
MLP Classifier,0.15,4,precision_score,1.0
MLP Classifier,0.15,4,recall_score,1.0
MLP Classifier,0.15,4,f1_score,1.0
MLP Classifier,0.2,4,accuracy_score,1.0
MLP Classifier,0.2,4,precision_score,1.0
MLP Classifier,0.2,4,recall_score,1.0
MLP Classifier,0.2,4,f1_score,1.0
CatBoost,0.0,4,accuracy_score,0.8125
CatBoost,0.0,4,precision_score,0.7857142857142857
CatBoost,0.0,4,recall_score,0.8461538461538461
CatBoost,0.0,4,f1_score,0.8148148148148148
CatBoost,0.05,4,accuracy_score,0.775
CatBoost,0.05,4,precision_score,0.7441860465116279
CatBoost,0.05,4,recall_score,0.8205128205128205
CatBoost,0.05,4,f1_score,0.7804878048780488
CatBoost,0.1,4,accuracy_score,0.7875
CatBoost,0.1,4,precision_score,0.7391304347826086
CatBoost,0.1,4,recall_score,0.8717948717948718
CatBoost,0.1,4,f1_score,0.8
CatBoost,0.15,4,accuracy_score,0.8375
CatBoost,0.15,4,precision_score,0.782608695652174
CatBoost,0.15,4,recall_score,0.9230769230769231
CatBoost,0.15,4,f1_score,0.8470588235294118
CatBoost,0.2,4,accuracy_score,0.7375
CatBoost,0.2,4,precision_score,0.6875
CatBoost,0.2,4,recall_score,0.8461538461538461
CatBoost,0.2,4,f1_score,0.7586206896551724
Bagging,0.0,5,accuracy_score,0.775
Bagging,0.0,5,precision_score,0.7906976744186046
Bagging,0.0,5,recall_score,0.7906976744186046
Bagging,0.0,5,f1_score,0.7906976744186046
Bagging,0.05,5,accuracy_score,0.675
Bagging,0.05,5,precision_score,0.7073170731707317
Bagging,0.05,5,recall_score,0.6744186046511628
Bagging,0.05,5,f1_score,0.6904761904761905
Bagging,0.1,5,accuracy_score,0.6375
Bagging,0.1,5,precision_score,0.6944444444444444
Bagging,0.1,5,recall_score,0.5813953488372093
Bagging,0.1,5,f1_score,0.6329113924050633
Bagging,0.15,5,accuracy_score,0.575
Bagging,0.15,5,precision_score,0.6216216216216216
Bagging,0.15,5,recall_score,0.5348837209302325
Bagging,0.15,5,f1_score,0.575
Bagging,0.2,5,accuracy_score,0.6625
Bagging,0.2,5,precision_score,0.7
Bagging,0.2,5,recall_score,0.6511627906976745
Bagging,0.2,5,f1_score,0.6746987951807228
MLP Classifier,0.0,5,accuracy_score,0.9875
MLP Classifier,0.0,5,precision_score,0.9772727272727273
MLP Classifier,0.0,5,recall_score,1.0
MLP Classifier,0.0,5,f1_score,0.9885057471264368
MLP Classifier,0.05,5,accuracy_score,0.95
MLP Classifier,0.05,5,precision_score,0.9148936170212766
MLP Classifier,0.05,5,recall_score,1.0
MLP Classifier,0.05,5,f1_score,0.9555555555555556
MLP Classifier,0.1,5,accuracy_score,0.975
MLP Classifier,0.1,5,precision_score,0.9555555555555556
MLP Classifier,0.1,5,recall_score,1.0
MLP Classifier,0.1,5,f1_score,0.9772727272727273
MLP Classifier,0.15,5,accuracy_score,0.9875
MLP Classifier,0.15,5,precision_score,0.9772727272727273
MLP Classifier,0.15,5,recall_score,1.0
MLP Classifier,0.15,5,f1_score,0.9885057471264368
MLP Classifier,0.2,5,accuracy_score,0.9625
MLP Classifier,0.2,5,precision_score,0.9545454545454546
MLP Classifier,0.2,5,recall_score,0.9767441860465116
MLP Classifier,0.2,5,f1_score,0.9655172413793104
CatBoost,0.0,5,accuracy_score,0.7625
CatBoost,0.0,5,precision_score,0.75
CatBoost,0.0,5,recall_score,0.8372093023255814
CatBoost,0.0,5,f1_score,0.7912087912087912
CatBoost,0.05,5,accuracy_score,0.7875
CatBoost,0.05,5,precision_score,0.7708333333333334
CatBoost,0.05,5,recall_score,0.8604651162790697
CatBoost,0.05,5,f1_score,0.8131868131868132
CatBoost,0.1,5,accuracy_score,0.7375
CatBoost,0.1,5,precision_score,0.7391304347826086
CatBoost,0.1,5,recall_score,0.7906976744186046
CatBoost,0.1,5,f1_score,0.7640449438202247
CatBoost,0.15,5,accuracy_score,0.7
CatBoost,0.15,5,precision_score,0.7111111111111111
CatBoost,0.15,5,recall_score,0.7441860465116279
CatBoost,0.15,5,f1_score,0.7272727272727273
CatBoost,0.2,5,accuracy_score,0.675
CatBoost,0.2,5,precision_score,0.6976744186046512
CatBoost,0.2,5,recall_score,0.6976744186046512
CatBoost,0.2,5,f1_score,0.6976744186046512
Bagging,0.0,6,accuracy_score,0.725
Bagging,0.0,6,precision_score,0.7575757575757576
Bagging,0.0,6,recall_score,0.6410256410256411
Bagging,0.0,6,f1_score,0.6944444444444444
Bagging,0.05,6,accuracy_score,0.7125
Bagging,0.05,6,precision_score,0.7352941176470589
Bagging,0.05,6,recall_score,0.6410256410256411
Bagging,0.05,6,f1_score,0.684931506849315
Bagging,0.1,6,accuracy_score,0.6625
Bagging,0.1,6,precision_score,0.6875
Bagging,0.1,6,recall_score,0.5641025641025641
Bagging,0.1,6,f1_score,0.6197183098591549
Bagging,0.15,6,accuracy_score,0.7125
Bagging,0.15,6,precision_score,0.7352941176470589
Bagging,0.15,6,recall_score,0.6410256410256411
Bagging,0.15,6,f1_score,0.684931506849315
Bagging,0.2,6,accuracy_score,0.725
Bagging,0.2,6,precision_score,0.7575757575757576
Bagging,0.2,6,recall_score,0.6410256410256411
Bagging,0.2,6,f1_score,0.6944444444444444
MLP Classifier,0.0,6,accuracy_score,0.975
MLP Classifier,0.0,6,precision_score,0.9743589743589743
MLP Classifier,0.0,6,recall_score,0.9743589743589743
MLP Classifier,0.0,6,f1_score,0.9743589743589743
MLP Classifier,0.05,6,accuracy_score,0.9625
MLP Classifier,0.05,6,precision_score,0.9285714285714286
MLP Classifier,0.05,6,recall_score,1.0
MLP Classifier,0.05,6,f1_score,0.9629629629629629
MLP Classifier,0.1,6,accuracy_score,0.975
MLP Classifier,0.1,6,precision_score,0.9743589743589743
MLP Classifier,0.1,6,recall_score,0.9743589743589743
MLP Classifier,0.1,6,f1_score,0.9743589743589743
MLP Classifier,0.15,6,accuracy_score,0.95
MLP Classifier,0.15,6,precision_score,0.972972972972973
MLP Classifier,0.15,6,recall_score,0.9230769230769231
MLP Classifier,0.15,6,f1_score,0.9473684210526315
MLP Classifier,0.2,6,accuracy_score,0.9625
MLP Classifier,0.2,6,precision_score,0.9736842105263158
MLP Classifier,0.2,6,recall_score,0.9487179487179487
MLP Classifier,0.2,6,f1_score,0.961038961038961
CatBoost,0.0,6,accuracy_score,0.8125
CatBoost,0.0,6,precision_score,0.8529411764705882
CatBoost,0.0,6,recall_score,0.7435897435897436
CatBoost,0.0,6,f1_score,0.7945205479452054
CatBoost,0.05,6,accuracy_score,0.8
CatBoost,0.05,6,precision_score,0.8108108108108109
CatBoost,0.05,6,recall_score,0.7692307692307693
CatBoost,0.05,6,f1_score,0.7894736842105263
CatBoost,0.1,6,accuracy_score,0.8125
CatBoost,0.1,6,precision_score,0.8157894736842105
CatBoost,0.1,6,recall_score,0.7948717948717948
CatBoost,0.1,6,f1_score,0.8051948051948052
CatBoost,0.15,6,accuracy_score,0.8
CatBoost,0.15,6,precision_score,0.7948717948717948
CatBoost,0.15,6,recall_score,0.7948717948717948
CatBoost,0.15,6,f1_score,0.7948717948717948
CatBoost,0.2,6,accuracy_score,0.8
CatBoost,0.2,6,precision_score,0.8108108108108109
CatBoost,0.2,6,recall_score,0.7692307692307693
CatBoost,0.2,6,f1_score,0.7894736842105263
Bagging,0.0,7,accuracy_score,0.825
Bagging,0.0,7,precision_score,0.8372093023255814
Bagging,0.0,7,recall_score,0.8372093023255814
Bagging,0.0,7,f1_score,0.8372093023255814
Bagging,0.05,7,accuracy_score,0.775
Bagging,0.05,7,precision_score,0.7777777777777778
Bagging,0.05,7,recall_score,0.813953488372093
Bagging,0.05,7,f1_score,0.7954545454545454
Bagging,0.1,7,accuracy_score,0.775
Bagging,0.1,7,precision_score,0.7906976744186046
Bagging,0.1,7,recall_score,0.7906976744186046
Bagging,0.1,7,f1_score,0.7906976744186046
Bagging,0.15,7,accuracy_score,0.65
Bagging,0.15,7,precision_score,0.6923076923076923
Bagging,0.15,7,recall_score,0.627906976744186
Bagging,0.15,7,f1_score,0.6585365853658537
Bagging,0.2,7,accuracy_score,0.6375
Bagging,0.2,7,precision_score,0.6521739130434783
Bagging,0.2,7,recall_score,0.6976744186046512
Bagging,0.2,7,f1_score,0.6741573033707865
MLP Classifier,0.0,7,accuracy_score,1.0
MLP Classifier,0.0,7,precision_score,1.0
